Symbol,Name,Price,Token
364D030926-TB,"GOI TBILL 364D-03/09/26",95,194288641
364D040626-TB,"GOI TBILL 364D-04/06/26",95.7,193895169
364D041225-TB,"GOI TBILL 364D-04/12/25",98.78,6996737
364D050226-TB,"GOI TBILL 364D-05/02/26",97.74,7547137
364D050326-TB,"GOI TBILL 364D-05/03/26",97.42,7676929
364D060826-TB,"GOI TBILL 364D-06/08/26",94.64,194100993
364D061125-TB,"GOI TBILL 364D-06/11/25",98.81,6915841
364D070526-TB,"GOI TBILL 364D-07/05/26",97,193758721
364D080126-TB,"GOI TBILL 364D-08/01/26",98.17,7435777
364D090726-TB,"GOI TBILL 364D-09/07/26",95.52,193964289
364D100426-TB,"GOI TBILL 364D-10/04/26",97.18,193500161
364D100926-TB,"GOI TBILL 364D-10/09/26",94.75,194275329
364D110626-TB,"GOI TBILL 364D-11/06/26",95.55,193906689
364D111225-TB,"GOI TBILL 364D-11/12/25",98.81,7092225
364D120226-TB,"GOI TBILL 364D-12/02/26",97.83,7572993
364D120326-TB,"GOI TBILL 364D-12/03/26",97.15,7706625
364D130826-TB,"GOI TBILL 364D-13/08/26",94.5,194153985
364D131125-TB,"GOI TBILL 364D-13/11/25",99,6942721
364D140526-TB,"GOI TBILL 364D-14/05/26",96.25,193823233
364D150126-TB,"GOI TBILL 364D-15/01/26",98.29,7458817
364D160426-TB,"GOI TBILL 364D-16/04/26",95.08,193517825
364D160726-TB,"GOI TBILL 364D-16/07/26",95.4,194024705
364D161025-TB,"GOI TBILL 364D-16/10/25",99.5,6610945
364D170926-TB,"GOI TBILL 364D-17/09/26",94.07,194354945
364D180626-TB,"GOI TBILL 364D-18/06/26",95.65,193741057
364D181225-TB,"GOI TBILL 364D-18/12/25",98.52,7247617
364D190326-TB,"GOI TBILL 364D-19/03/26",96.61,7728129
364D200226-TB,"GOI TBILL 364D-20/02/26",96.83,7600897
364D200826-TB,"GOI TBILL 364D-20/08/26",94.29,194198785
364D210526-TB,"GOI TBILL 364D-21/05/26",96.02,193745921
364D211125-TB,"GOI TBILL 364D-21/11/25",98.54,6952193
364D220126-TB,"GOI TBILL 364D-22/01/26",97.9,7478529
364D230726-TB,"GOI TBILL 364D-23/07/26",95.44,193975809
364D231025-TB,"GOI TBILL 364D-23/10/25",99.69,6627585
364D240426-TB,"GOI TBILL 364D-24/04/26",98,193553409
364D240926-TB,"GOI TBILL 364D-24/09/26",94.99,194316033
364D250626-TB,"GOI TBILL 364D-25/06/26",95.86,193936385
364D260326-TB,"GOI TBILL 364D-26/03/26",97.06,7785217
364D261225-TB,"GOI TBILL 364D-26/12/25",97.24,7375873
364D270226-TB,"GOI TBILL 364D-27/02/26",97,7657217
364D271125-TB,"GOI TBILL 364D-27/11/25",97.22,6965761
364D280526-TB,"GOI TBILL 364D-28/05/26",96.27,193803265
364D280826-TB,"GOI TBILL 364D-28/08/26",94.7,194235137
364D290126-TB,"GOI TBILL 364D-29/01/26",97.26,7501825
364D300726-TB,"GOI TBILL 364D-30/07/26",95.3,194042113
364D301025-TB,"GOI TBILL 364D-30/10/25",99.2,6648833
3IINFO-RE-BE,"3I INFOTECH",1.34,194587393
3IINFOLTD,"3I INFOTECH",19.05,1595393
3MINDIA,"3M INDIA",29275,121345
3PLAND,"3P LAND HOLDINGS",44.46,664321
515GS2025-GS,"GOI LOAN  5.15% 2025",100.75,269825
563GS2026-GS,"GOI LOAN  5.63% 2026",103,819713
574GS2026-GS,"GOI LOAN  5.74% 2026",101.3,1713921
577GS2030-GS,"GOI LOAN 5.77% 2030",97.85,5706753
579GS2030-GS,"GOI LOAN 5.79% 2030",98.95,4827393
585GS2030-GS,"GOI LOAN  5.85% 2030",99.25,343297
591GS2028-GS,"GOI LOAN  5.91% 2028",101.39,193984769
5PAISA,"5PAISA CAPITAL",345,113921
601GS2028-GS,"GOI LOAN 6.01% 2028",103.95,1757697
601GS2030-GS,"GOI LOAN  6.01% 2030",99.5,194043649
601RJ26-SG,"SDL RJ 6.01% 2026",97.51,1534465
610GS2031-GS,"GOI LOAN  6.10% 2031",98,1283073
613GS2028-GS,"GOI LOAN 6.13% 2028",102.15,1758209
613RJ26-SG,"SDL RJ 6.13% 2026",100,900097
619GS2034-GS,"GOI LOAN 6.19% 2034",99,4857089
622GS2035-GS,"GOI LOAN  6.22% 2035",98.24,243969
628GS2032-GS,"GOI LOAN  6.28% 2032",99.77,194046465
633AS26-SG,"SDL AS 6.33% 2026",90.03,1275393
633GS2035-GS,"GOI LOAN  6.33% 2035",101.17,193763841
63MOONS,"63 MOONS TECHNOLOGIES",849.8,3038209
645GS2029-GS,"GOI LOAN 6.45% 2029",92.01,3448833
647MH28-SG,"SDL MH 6.47% 2028",97.95,197889
648GS2035-GS,"GOI LOAN  6.48% 2035",99.5,194405377
653KA30-SG,"SDL KA 6.53% 2030",96.75,349441
653TN31-SG,"SDL TN 6.53% 2031",100.54,470785
654GS2032-GS,"GOI LOAN  6.54% 2032",102,2007809
654KA30-SG,"SDL KA 6.54% 2030",95,371969
657GS2033-GS,"GOI LOAN 6.57% 2033",98.9,1841665
662GS2051-GS,"GOI LOAN 6.62% 2051",98,1841409
662PY28-SG,"SDL PY 6.62% 2028",30.95,1765121
663TN35-SG,"SDL TN 6.63% 2035",91,422913
664GS2027-GS,"GOI LOAN   6.64% 2027",102.4,7015681
664GS2035-GS,"GOI LOAN  6.64% 2035",99.81,820225
666TN30-SG,"SDL TN 6.66% 2030",102.82,5737729
667GS2035-GS,"GOI LOAN  6.67% 2035",102.8,1427713
667GS2050-GS,"GOI LOAN  6.67% 2050",96.05,244737
668GS2031-GS,"GOI LOAN 6.68% 2031",97.7,1844481
668GS2040-GS,"GOI LOAN  6.68% 2040",98,194008833
669KA37-SG,"SDL KA 6.69% 2037",95,353025
672MH38-SG,"SDL MH 6.72% 2038",95,193552129
675BR27-SG,"SDL BR 6.75% 2027",85.75,1274881
675GJ31-SG,"SDL GJ 6.75% 2031",100,1171201
675GS2029-GS,"GOI LOAN   6.75% 2029",111.3,7303681
675KA33A-SG,"SDL KA 6.75% 2033",101.1,158209
676GS2061-GS,"GOI LOAN  6.76% 2061",95.1,593153
678MH31-SG,"SDL MH 6.78% 2031",98.4,936705
679GS2027-GS,"GOI LOAN 6.79% 2027",105,1843713
679GS2029-GS,"GOI LOAN 6.79% 2029",103.65,1841921
679GS2031-GS,"GOI LOAN   6.79% 2031",104.2,7396865
679GS2034-GS,"GOI LOAN  6.79% 2034",102,6588417
679GS2034A-GS,"GOI LOAN   6.79% 2034",98,6981889
683MH32B-SG,"SDL MH 6.83% 2032",96.59,1172481
683TN31A-SG,"SDL TN 6.83% 2031",95.24,1831937
686RJ52-SG,"SDL RJ 6.86% 2052",95,193802497
687AS31A-SG,"SDL AS 6.87% 2031",95,1802497
689GA31-SG,"SDL GA 6.89% 2031",94.25,1216001
689KL51-SG,"SDL KL 6.89% 2051",100,193802241
689MH31-SG,"SDL MH 6.89% 2031",93.85,1249537
68GS2060-GS,"GOI LOAN  6.8% 2060",96.97,5744129
690GS2065-GS,"GOI LOAN  6.90% 2065",100.45,193539585
691GJ30-SG,"SDL GJ 6.91% 2030",81.47,1277697
691WB31-SG,"SDL WB 6.91% 2031",107.9,1765633
692GS2039-GS,"GOI LOAN   6.92% 2039",103.5,6944513
692JH28-SG,"SDL JH 6.92% 2028",9,7724545
694AS31-SG,"SDL AS 6.94% 2031",10,1678337
694MH31-SG,"SDL MH 6.94% 2031",88.2,1278209
695GS2061-GS,"GOI LOAN  6.95% 2061",99,1745153
695MH31-SG,"SDL MH 6.95% 2031",95,1288961
695PN31-SG,"SDL PN 6.95% 2031",83,1251073
695RJ31-SG,"SDL RJ 6.95% 2031",100.95,547073
695TN31-SG,"SDL TN 6.95% 2031",96.7,578561
695TN31A-SG,"SDL TN 6.95% 2031",96.59,1278465
696KA31-SG,"SDL KA 6.96% 2031",100,1560321
696TN56-SG,"SDL TN 6.96% 2056",91.6,916481
697GR2034-GS,"GOI LOAN   6.97% 2034",98,6324481
697GS2026-GS,"GOI LOAN 6.97% 2026",103.69,1832449
697RJ31-SG,"SDL RJ 6.97% 2031",95,1279233
697UP31A-SG,"SDL UP 6.97% 2031",11.5,1561345
698GR2054-GS,"GOI LOAN   6.98% 2054",95.08,7121665
698HR31-SG,"SDL HR 6.98% 2031",95.55,1338625
698MH28-SG,"SDL MH 6.98% 2028",100.78,5616385
699GA31-SG,"SDL GA 6.99% 2031",81.47,1279489
699GS2026-GS,"GOI LOAN  6.99% 2026",103.51,3851777
699GS2051-GS,"GOI LOAN  6.99% 2051",99.28,1714177
699PY29-SG,"SDL PY 6.99% 2029",90.25,2120705
699TN41-SG,"SDL TN 6.99% 2041",104.95,933121
702GS2027-GS,"GOI LOAN  7.02% 2027",103.5,6106625
702GS2031-GS,"GOI LOAN  7.02% 2031",104.01,6162433
703RJ36-SG,"SDL RJ 7.03% 2036",97.86,575489
703TN30-SG,"SDL TN 7.03% 2030",95,2130177
704GJ30-SG,"SDL GJ 7.04% 2030",101,5211905
704GS2029-GS,"GOI LOAN  7.04% 2029",104.4,6123265
704IRFC26-NL,"704IRFC26-NL",1100,3868161
704IRFC28-N6,"704IRFC28-N6",1036.99,7579393
704NHAI26-NB,"704NHAI26-NB",2032,3711233
704REC28-N4,"704REC28-N4",1078.2,7581185
706GS2028-GS,"GOI LOAN  7.06% 2028",103,3832321
706GS2046-GS,"GOI LOAN 7.06% 2046",100.01,1839105
706WB36-SG,"SDL WB 7.06% 2036",98.16,1224193
707IRFC25-NF,"707IRFC25-NF",1075,3000833
707TN38-SG,"SDL TN 7.07% 2038",99.45,1873409
708RJ30-SG,"SDL RJ 7.08% 2030",101,5640961
709GS2054-GS,"GOI LOAN  7.09% 2054",100.98,6386945
709GS2074-GS,"GOI LOAN   7.09% 2074",101,6955521
709TN35-SG,"SDL TN 7.09% 2035",99,7571201
70TN29-SG,"SDL TN 7.0% 2029",8.8,7705345
710GS2029-GS,"GOI LOAN 7.10% 2029",106.4,2316033
710TS44-SG,"SDL TS 7.10% 2044",23.9,6994945
711GJ31-SG,"SDL GJ 7.11% 2031",101.47,696577
711KA33-SG,"SDL KA 7.11% 2033",9.46,7570689
711WB44-SG,"SDL WB 7.11% 2044",100,193974529
712MZ34-SG,"SDL MZ 7.12% 2034",94,1280769
713HR36-SG,"SDL HR 7.13% 2036",90.25,6491905
713KL58-SG,"SDL KL 7.13% 2058",100,193982465
713MH37-SG,"SDL MH 7.13% 2037",93.55,6492161
713TN47-SG,"SDL TN 7.13% 2047",96,2098689
713WB42-SG,"SDL WB 7.13% 2042",550,7497217
714AP37-SG,"SDL AP 7.14% 2037",92.6,1339905
714NHAI26-N7,"714NHAI26-N7",1025.01,3058945
715IRFC34-N0,"715IRFC34-N0",2041.98,7397121
715UK30-SG,"SDL UK 7.15% 2030",100,7379969
716GS2050-GS,"GOI LOAN 7.16% 2050",101,4751617
716MZ35-SG,"SDL MZ 7.16% 2035",8.8,7570945
717GS2028-GS,"GOI LOAN 7.17% 2028",103.01,1845249
717GS2030-GS,"GOI LOAN  7.17% 2030",106.02,3852801
718GJ28-SG,"SDL GJ 7.18% 2028",99.03,4262657
718GS2033-GS,"GOI LOAN  7.18% 2033",104.01,4614401
718GS2037-GS,"GOI LOAN  7.18% 2037",104.61,4453889
718MH30-SG,"SDL MH 7.18% 2030",97.07,2287105
718TN55A-SG,"SDL TN 7.18% 2055",8,7572225
719GS2060-GS,"GOI LOAN 7.19% 2060",98,4729345
719HUDCO28-N7,"719HUDCO28-N7",1081.99,7590401
719KL51-SG,"SDL KL 7.19% 2051",99,1402625
719PN37-SG,"SDL PN 7.19% 2037",93.1,1974785
719TN42-SG,"SDL TN 7.19% 2042",102.72,2134273
71GS2034-GS,"GOI LOAN  7.1% 2034",103,6006529
71JK33A-SG,"SDL JK 7.1% 2033",95,1367553
71MH36-SG,"SDL MH 7.1% 2036",99.12,1339393
71WB50-SG,"SDL WB 7.1% 2050",95,193934081
723GJ27-SG,"SDL GJ 7.23% 2027",99.7,6168577
723GS2039-GS,"GOI LOAN  7.23% 2039",106,6020609
724GR2033-GS,"GOI LOAN 7.24% 2033",100,5234689
724GS2055-GS,"GOI LOAN  7.24% 2055",102,194220545
724KA38-SG,"SDL KA 7.24% 2038",99.75,689409
724UP32-SG,"SDL UP 7.24% 2032",95,2011137
725AP37-SG,"SDL AP 7.25% 2037",95,6424321
725GA35-SG,"SDL GA 7.25% 2035",95,6422785
725GJ26-SG,"SDL GJ 7.25% 2026",100.2,5786369
725GR2028-GS,"GOI LOAN   7.25% 2028",100,5158657
725GS2063-GS,"GOI LOAN  7.25% 2063",103.41,4283649
725HR32-SG,"SDL HR 7.25% 2032",96.51,2138881
725IOCL30-N0,"725IOCL30-N0",1985,7432961
725IRFC35-NH,"725IRFC35-NH",1198.1,3007489
726GS2029-GS,"GOI LOAN 7.26% 2029",103.75,2054913
726GS2032-GS,"GOI LOAN  7.26% 2032",105,2744833
726GS2033-GS,"GOI LOAN  7.26% 2033",104.4,3597057
727GS2026-GS,"GOI LOAN 7.27% 2026",105,2441473
727MH30-SG,"SDL MH 7.27% 2030",99,5617153
728IRFC30-NG,"728IRFC30-NG",1080,3002881
728JK30-SG,"SDL JK 7.28% 2030",101,5541377
728NTPC30B-N9,"728NTPC30B-N9",1100,2749697
729GJ32-SG,"SDL GJ 7.29% 2032",98.5,2222849
729IRFC26-NN,"729IRFC26-NN",1028.79,3874305
729KA36-SG,"SDL KA 7.29% 2036",102,656897
729NHAI26-NC,"729NHAI26-NC",1017,3711745
729PY26-SG,"SDL PY 7.29% 2026",99.89,5910529
732GS2030-GS,"GOI LOAN  7.32% 2030",107.5,5154817
732IRFC25-NI,"732IRFC25-NI",1074,3008257
733AP33-SG,"SDL AP 7.33% 2033",100.93,4261633
733GS2026-GS,"GOI LOAN  7.33% 2026",103.76,5039361
733HR36-SG,"SDL HR 7.33% 2036",99,6190849
733MH31-SG,"SDL MH 7.33% 2031",101.81,4153345
733TN33-SG,"SDL TN 7.33% 2033",99.4,4031745
733TN52-SG,"SDL TN 7.33% 2052",99.75,2049793
734GS2064-GS,"GOI LOAN  7.34% 2064",105,6030849
734IRFC28-N4,"734IRFC28-N4",1042,7506689
734RJ33A-SG,"SDL RJ 7.34% 2033",97.6,4261377
734TN43-SG,"SDL TN 7.34% 2043",90,4336385
735GJ26-SG,"SDL GJ 7.35% 2026",100,3746305
735IRFC31-NM,"735IRFC31-NM",1152.5,3868673
735NABAR31-N1,"735NABAR31-N1",1135,5128193
735NHAI31-N9,"735NHAI31-N9",1118.1,3060225
735PFCL35-N1,"735PFCL35-N1",1170,5112833
735TN43-SG,"SDL TN 7.35% 2043",101,4304385
736GS2052-GS,"GOI LOAN  7.36% 2052",103,2798337
736MH28-SG,"SDL MH 7.36% 2028",100.5,3842305
736PFCL28-N2,"736PFCL28-N2",1087.65,5113345
737GR2054-GS,"GOI LOAN   7.37% 2054",98,5564161
737GS2028-GS,"GOI LOAN  7.37% 2028",106.25,5008897
737KA38A-SG,"SDL KA 7.37% 2038",97.51,5911553
737NTPC35C-NA,"737NTPC35C-NA",1452,2750465
738CG32-SG,"SDL CG 7.38% 2032",96.3,5907969
738GS2027-GS,"GOI LOAN 7.38% 2027",105.02,2537729
738HR34-SG,"SDL HR 7.38% 2034",97,6158337
738REC27TF-N2,"738REC27TF-N2",1097.01,7452417
739CG33-SG,"SDL CG 7.39% 2033",100.45,5908225
739ML26-SG,"SDL ML 7.39% 2026",100.88,3145985
739NHAI26-N8,"739NHAI26-N8",1039.89,3059713
739NHAI31A-ND,"739NHAI31A-ND",1178,3717633
739TN42-SG,"SDL TN 7.39% 2042",101.45,2232065
739UK30-SG,"SDL UK 7.39% 2030",99.75,6157057
73GS2053-GS,"GOI LOAN  7.3% 2053",103.75,4317441
740IIFCL33-N1,"740IIFCL33-N1",1170,5133313
741AP30-SG,"SDL AP 7.41% 2030",100.2,3907073
741GS2036-GS,"GOI LOAN  7.41% 2036",106.4,3377665
742GJ31-SG,"SDL GJ 7.42% 2031",96.57,5787649
742GJ33-SG,"SDL GJ 7.42% 2033",96.32,5810433
742HP38-SG,"SDL HP 7.42% 2038",99.9,4712705
743AP31-SG,"SDL AP 7.43% 2031",100.15,3907585
743AP39-SG,"SDL AP 7.43% 2039",95.6,4348673
743AP41-SG,"SDL AP 7.43% 2041",96.25,4416001
743CG29-SG,"SDL CG 7.43% 2029",97.82,5809665
743GJ31-SG,"SDL GJ 7.43% 2031",100.05,5809409
743MH35-SG,"SDL MH 7.43% 2035",97.14,5856513
743PN48-SG,"SDL PN 7.43% 2048",98.21,4381185
743REC35-NH,"743REC35-NH",1210,5101057
743TN33-SG,"SDL TN 7.43% 2033",95,4711425
743TN53-SG,"SDL TN 7.43% 2053",99.9,4523777
743TS33-SG,"SDL TS 7.43% 2033",98.28,3907841
744AP33-SG,"SDL AP 7.44% 2033",99.19,4710401
744AP36-SG,"SDL AP 7.44% 2036",97.65,4782337
744JK53-SG,"SDL JK 7.44% 2053",98.86,4524033
744TS39A-SG,"SDL TS 7.44% 2039",97.77,4712961
744TS45-SG,"SDL TS 7.44% 2045",92.61,4745729
744TS53-SG,"SDL TS 7.44% 2053",93,6015489
745AP34-SG,"SDL AP 7.45% 2034",97.75,4692993
745AP38-SG,"SDL AP 7.45% 2038",100.13,5811201
746GS2073-GS,"GOI LOAN  7.46% 2073",106.45,5070849
746MH33-SG,"SDL MH 7.46% 2033",99,4743937
746TS30-SG,"SDL TS 7.46% 2030",100,4784641
747AP32-SG,"SDL AP 7.47% 2032",99.75,4570113
747AS28-SG,"SDL AS 7.47% 2028",97.81,4659969
747AS33-SG,"SDL AS 7.47% 2033",98.2,4710657
747HR35-SG,"SDL HR 7.47% 2035",98,4408833
747HR36-SG,"SDL HR 7.47% 2036",101.56,5810945
747KL39-SG,"SDL KL 7.47% 2039",101,4632833
747MH34-SG,"SDL MH 7.47% 2034",90,4743169
747MH36-SG,"SDL MH 7.47% 2036",101.05,5824513
747PN43-SG,"SDL PN 7.47% 2043",97.83,3921665
748KA33-SG,"SDL KA 7.48% 2033",105,5822977
748MH35-SG,"SDL MH 7.48% 2035",96.68,5788929
749GJ28-SG,"SDL GJ 7.49% 2028",99.3,3791873
749HR36-SG,"SDL HR 7.49% 2036",101.86,5789697
749KL45-SG,"SDL KL 7.49% 2045",94.4,4909569
749MH30-SG,"SDL MH 7.49% 2030",101.15,3843841
749MH36-SG,"SDL MH 7.49% 2036",95.45,5789953
74AP43-SG,"SDL AP 7.4% 2043",99.99,4713729
74CG30-SG,"SDL CG 7.4% 2030",98.95,4345345
74GJ26-SG,"SDL GJ 7.4% 2026",101,5357057
74GJ27-SG,"SDL GJ 7.4% 2027",102.15,4784129
74GS2035-GS,"GOI LOAN 7.40% 2035",105.1,1759745
74GS2062-GS,"GOI LOAN  7.4% 2062",102.2,2811137
74TN42-SG,"SDL TN 7.4% 2042",104.5,2199041
750IRFC35-NK,"750IRFC35-NK",1169.95,3009793
751HUDCO28-N5,"751HUDCO28-N5",1094.85,7503873
752AP42-SG,"SDL AP 7.52% 2042",99.95,2298113
752TN33-SG,"SDL TN 7.52% 2033",101.15,4905473
753HR33-SG,"SDL HR 7.53% 2033",90.25,4909825
753IRFC30-NJ,"753IRFC30-NJ",1087.79,3009025
753NTPC30E-NC,"753NTPC30E-NC",1085,2751745
753TS47-SG,"SDL TS 7.53% 2047",86.41,3341057
754AS28-SG,"SDL AS 7.54% 2028",97,2725377
754CG31-SG,"SDL CG 7.54% 2031",99.36,4910081
754GS2036-GS,"GOI LOAN  7.54% 2036",109.21,2453761
754KA41-SG,"SDL KA 7.54% 2041",99,3340801
754RJ33-SG,"SDL RJ 7.54% 2033",100,4912897
754UK33-SG,"SDL UK 7.54% 2033",99.75,4905729
755GJ31-SG,"SDL GJ 7.55% 2031",99.62,5305345
755MP35-SG,"SDL MP 7.55% 2035",95,4906241
755TS30-SG,"SDL TS 7.55% 2030",97.55,3525121
755TS32-SG,"SDL TS 7.55% 2032",99.75,4911361
756JK48-SG,"SDL JK 7.56% 2048",100.35,5178881
