Rank,Symbol,Name,Average Price,Current Price,Max Daily Fluctuation %,Min Daily Fluctuation %,Avg Daily Fluctuation %,Year High,Year Low,Yearly Range %,Total Days,Token
28,GREENLEAF-ST,"GREENLEAF ENVIROTECH",136.20,139.50,8.78,5.08,6.93,139.50,127.25,8.99,2,194413313
29,RETAIL,"JHS SVENDGAARD RETAIL V L",38.63,33.99,17.83,0.00,6.86,57.00,31.50,66.01,249,6181121
30,ANONDITA-ST,"ANONDITA MEDICARE",367.47,443.00,14.47,0.00,6.84,475.20,261.75,58.09,29,194238209
31,ALPSINDUS-BE,"ALPS INDUSTRIES",2.50,1.71,10.80,0.00,6.82,4.43,1.60,113.40,195,1951489
32,LANCORHOL,"LANCOR HOLDINGS",27.46,22.02,25.86,1.65,6.80,45.90,19.01,97.93,250,5894913
33,KHANDSE,"KHANDWALA SECURITIES",25.30,21.98,30.12,0.66,6.76,32.50,19.23,52.44,250,2468097
34,MORARJEE-BZ,"MORARJEE TEXTILES",8.59,9.30,10.56,0.00,6.76,12.80,4.56,95.93,194,6624257
35,PRAENG-BE,"PRAJAY ENG. SYN.",25.09,27.80,21.07,1.45,6.76,37.80,17.12,82.42,250,3569921
36,SAMPANN,"SAMPANN UTPADAN INDIA",31.27,31.30,18.26,0.63,6.70,47.88,24.16,75.85,250,6989569
37,SCLZC26A-NF,"SCLZC26A-NF",2032.31,2114.50,19.24,0.00,6.70,2130.00,1675.80,22.35,6,4771329
38,GENCON,"GENERIC ENG CONS PROJ",38.78,48.59,24.96,1.40,6.69,55.92,21.96,87.58,250,560129
39,ACEINTEG,"ACE INTEGRATED SOLU.",26.88,23.98,18.21,1.15,6.67,37.34,20.00,64.52,250,3015425
40,CLASSICEIL-SM,"CLASSIC ELECTRODE (IND) L",93.91,92.50,19.36,2.99,6.66,113.90,80.50,35.57,29,194236417
41,TECHD-ST,"TECHD CYBERSECURITY",540.59,643.25,30.06,0.00,6.64,794.00,366.70,79.04,14,194340097
42,TOUCHWOOD,"TOUCHWOOD ENTERTAIN",111.47,102.00,42.25,0.06,6.64,176.38,74.00,91.85,250,4328449
43,FABTECH-BE,"FABTECH TECHNOLOGIES",186.67,194.50,7.05,5.54,6.62,198.87,173.28,13.71,4,194592257
44,LAXMIINDIA,"LAXMI INDIA FINANCE",150.58,148.10,21.91,2.45,6.60,180.90,116.05,43.07,46,194268929
45,SMARTEN-SM,"SMARTEN POWER SYSTEMS",107.84,89.55,17.69,2.29,6.59,157.95,80.75,71.59,62,193950465
46,ONELIFECAP,"ONELIFE CAP ADVISORS",13.65,12.29,29.70,0.00,6.57,20.96,9.08,87.06,250,6525953
47,CYBERMEDIA-BE,"CYBER MEDIA (INDIA)",18.90,18.54,31.70,0.00,6.56,31.48,10.97,108.54,250,3032321
48,SYSTMTXC,"SYSTEMATIX CORP SERVICE L",144.58,148.50,12.08,4.27,6.55,151.19,126.10,17.35,5,194394881
49,SILLYMONKS,"SILLY MONKS ENTERTAIN",18.79,16.81,27.81,0.06,6.54,28.10,13.45,77.95,250,4888833
50,HAVISHA-BE,"SRI HAVISHA HOSP & INFR L",2.25,2.04,25.70,1.00,6.54,3.49,1.70,79.51,250,2154753
51,TNTELE,"TAMILNADU TELECOMMUNICATI",11.92,13.83,23.08,0.00,6.52,26.00,7.94,151.54,250,899073
52,FELDVR-BZ,"FUTURE ENTERPRISES",4.19,3.59,10.57,0.00,6.46,5.91,3.08,67.55,249,7805697
53,MANAKALUCO-BE,"MANAK ALUMINIUM CO.",27.61,29.60,19.25,1.45,6.46,35.02,17.81,62.32,250,1901313
54,SUPREME,"SUPREME HOLDIN N HOSP I L",88.62,96.89,21.38,1.09,6.45,116.50,69.11,53.48,170,7536385
55,INFOMEDIA-BE,"INFOMEDIA PRESS",6.74,7.23,10.55,0.00,6.45,9.89,5.60,63.64,177,3505665
56,BHADORA-SM,"BHADORA INDUSTRIES",102.29,92.00,17.82,1.51,6.44,128.85,85.60,42.28,42,194105601
57,INNOVANA-BE,"INNOVANA THINKLABS",437.78,502.00,23.15,0.00,6.44,649.50,270.50,86.57,248,7109889
58,PREMIER-BE,"PREMIER",3.51,3.68,10.78,0.00,6.43,4.77,2.55,63.28,211,1599489
59,COMPINFO-BZ,"COMPUAGE INFOCOM",2.13,1.64,10.90,0.00,6.42,3.53,1.26,106.34,147,5035521
60,STLNETWORK,"STL NETWORKS",27.09,28.71,23.32,1.70,6.40,35.40,20.66,54.41,26,194293249
61,SADBHIN-BE,"SADBHAV INFRA PROJ",5.27,3.89,18.62,0.00,6.39,8.51,3.22,100.44,250,2719233
62,WILLAMAGOR,"WILLIAMSON MAGOR",33.76,34.12,19.29,1.15,6.36,42.80,25.31,51.80,250,965633
63,889SCL28-NU,"889SCL28-NU",982.41,1000.00,16.34,0.00,6.35,1000.00,820.20,18.30,5,1499905
64,PAVNAIND,"PAVNA INDUSTRIES",44.31,40.30,23.47,1.69,6.32,75.95,29.35,105.16,250,4145153
65,INCREDIBLE,"INCREDIBLE INDUSTRIES",41.52,45.03,18.70,1.49,6.32,55.15,28.50,64.18,250,4481793
66,DRCSYSTEMS,"DRC SYSTEMS INDIA",22.85,19.95,29.17,0.00,6.32,34.90,16.15,82.06,250,677121
67,SCL0182025-NC,"SCL0182025-NC",845.99,870.30,19.60,0.00,6.32,979.80,819.20,18.98,4,193911809
68,BLUESTONE,"BLUESTONE JEWEL LFSTL",599.70,701.00,18.19,1.98,6.31,793.00,508.10,47.51,37,194378497
69,PROSTARM,"PROSTARM INFO SYSTEMS",185.45,194.10,16.87,1.59,6.29,253.49,108.00,78.45,91,194092289
70,ADROITINFO,"ADROIT INFOTECH",14.81,10.99,19.32,0.05,6.27,30.40,9.56,140.67,250,1267969
71,BVCL-BE,"BARAK VALLEY CEM.",44.94,50.32,20.89,0.00,6.27,69.99,34.06,79.96,250,3859713
72,NATCAPSUQ-BE,"NATURAL CAPSULES",214.35,239.00,23.42,1.25,6.26,296.00,164.00,61.58,161,7574529
73,NIBL,"NRB INDUS. BEARINGS",26.07,31.48,24.22,0.00,6.26,39.90,19.50,78.26,250,7611649
74,MGEL,"MANGALAM GLOBAL ENT",14.17,16.98,18.66,1.79,6.26,18.40,10.64,54.76,250,407809
75,CELEBRITY,"CELEBRITY FASHIONS",13.27,11.34,27.68,1.77,6.25,18.47,8.36,76.17,250,3369473
76,MADHUCON,"MADHUCON PROJECTS",8.19,7.27,17.98,0.00,6.24,13.30,5.64,93.53,250,3499777
77,NAGREEKEXP,"NAGREEKA EXPORTS",31.28,31.79,23.58,0.00,6.23,43.50,22.50,67.13,250,3763713
78,BTML,"BODHI TREE MULTIMEDIA",9.43,8.90,23.03,0.00,6.23,14.67,7.28,78.39,250,3622401
79,SINDHUTRAD,"SINDHU TRADE LINKS",22.83,26.18,21.80,1.71,6.22,39.29,13.00,115.13,250,4315905
80,RELIABLE-BE,"RELIABLE DATA SERVICE",82.37,114.00,19.97,0.00,6.22,163.91,63.15,122.32,250,6241281
81,JAIPURKURT,"NANDANI CREATION",41.39,38.43,19.81,1.18,6.22,59.00,31.91,65.45,250,1412097
82,DBSTOCKBRO,"DB (INT) STOCK BROKERS",34.79,25.49,34.85,0.91,6.22,59.88,24.95,100.39,250,7963393
83,3PLAND,"3P LAND HOLDINGS",47.80,43.16,19.69,0.00,6.20,82.06,34.05,100.43,250,664321
84,ISHANCH,"ISHAN DYES N CHEMICALS L",52.24,79.00,22.76,1.46,6.18,82.99,36.00,89.94,137,7743745
85,MCLOUD,"MAGELLANIC CLOUD",73.30,75.63,27.11,1.54,6.17,105.42,42.49,85.85,166,7547393
86,ANKITMETAL-BZ,"ANKIT MET & POW",2.58,1.90,10.62,0.00,6.17,4.99,1.75,125.80,203,6624769
87,HEADSUP,"HEADS UP VENTURES",11.05,10.75,25.85,0.00,6.17,15.50,8.66,61.89,250,4916481
88,SUVIDHAA-BE,"SUVIDHAA INFOSERVE",4.73,4.00,25.66,0.00,6.15,7.87,3.40,94.44,250,769281
89,KARMAENG-BE,"KARMA ENERGY",62.25,63.30,19.89,0.48,6.12,86.93,44.91,67.51,250,6243585
90,CREATIVEYE,"CREATIVE EYE",7.52,7.88,17.97,0.00,6.12,12.19,5.27,91.97,250,2402305
91,CCHHL,"COUNTRY CLUB HOSP HOL",18.03,17.12,20.73,1.73,6.11,26.00,13.00,72.09,250,1634561
92,GOENKA-BZ,"GOENKA DIAMOND&JEWELS",0.95,1.03,10.89,0.00,6.10,1.29,0.76,55.84,206,1282561
93,GVPTECH,"GVP INFOTECH",10.42,9.60,15.99,1.28,6.10,14.25,7.52,64.56,250,2781441
94,MAHICKRA-SM,"MAHICKRA CHEMICAL",121.71,156.00,23.11,0.00,6.10,180.00,90.00,73.95,217,726785
95,MTEDUCARE-BE,"MT EDUCARE",2.28,2.21,10.90,0.00,6.09,3.46,1.87,69.77,183,8041729
96,XTGLOBAL,"XTGLOBAL INFOTECH",38.16,40.00,18.72,1.74,6.06,52.37,28.65,62.16,250,6460161
97,DELTAMAGNT,"DELTA MANUFACTURING",86.87,74.50,19.93,0.80,6.06,136.04,55.01,93.28,250,310785
98,SECURKLOUD,"SECUREKLOUD TECH",27.58,22.49,17.44,0.00,6.06,44.15,16.35,100.81,250,2830849
99,ICDSLTD-BE,"ICDSLTD",49.81,51.70,19.93,0.00,6.05,76.00,36.00,80.30,250,2460161
100,QPOWER,"QUALITY POWER ELEC EQUP L",612.23,996.00,13.69,1.78,6.05,1082.00,267.80,132.99,155,7606017
101,RVHL-BE,"RAVINDER HEIGHTS",53.48,61.00,20.02,0.00,6.05,81.90,38.15,81.80,250,402433
102,OMAXAUTO-BE,"OMAX AUTOS",109.65,129.33,18.16,1.76,6.03,165.80,77.55,80.48,250,3616001
103,SACHEEROME-SM,"SACHEEROME",189.86,208.60,19.46,1.71,6.03,247.00,140.50,56.09,82,193896705
104,NAGREEKCAP,"NAGREEKA CAP & INFR.LTD",29.75,41.00,18.15,0.00,6.03,43.93,22.57,71.80,250,3825153
105,SECMARK,"SECMARK CONSULTANCY",119.90,106.80,18.29,0.00,6.03,174.63,75.00,83.10,250,4990977
106,ZENITHSTL,"ZENITH STEEL PIP IND",7.79,8.91,21.47,0.00,6.02,10.11,5.65,57.22,250,3727873
107,RUCHINFRA,"RUCHI INFRASTRUCTURE",9.30,7.38,29.48,1.42,6.02,14.29,6.35,85.37,250,1168897
108,MADHAV,"MADHAV MARBLE & GRANITE",47.48,42.94,21.85,1.64,6.01,68.49,37.62,65.01,250,3878657
109,COUNCODOS,"COUNTRY CONDO S",6.88,6.98,19.96,0.00,6.00,11.92,5.31,96.10,250,4348417
110,KEEPLEARN,"DSJ KEEP LEARNING",3.76,2.88,19.40,0.00,5.98,6.33,2.46,102.95,250,199169
111,EUROTEXIND,"EUROTEX INDUSTRIES",13.95,14.20,22.13,0.00,5.97,19.08,9.65,67.62,238,255745
112,VIMTALABS,"VIMTA LABS",510.32,713.65,24.17,1.33,5.97,902.65,266.50,124.66,250,3353857
113,AMBICAAGAR,"AMBICA AGAR & AROMAINDLTD",28.46,25.74,17.58,0.00,5.97,36.95,23.99,45.54,250,2942977
114,AFFORDABLE,"AFFORD ROBO & AUTO",467.06,246.80,27.84,1.78,5.96,788.50,218.00,122.15,241,6618881
115,SALSTEEL-BE,"S.A.L. STEEL",21.11,27.64,21.56,0.00,5.96,36.50,14.37,104.82,250,2979073
116,INDOUS,"INDO US BIOTECH",197.35,134.00,18.30,1.56,5.95,388.40,128.20,131.85,250,6528769
117,STALLION,"STALLION IND FLUOROCHEM L",111.60,303.50,19.85,0.00,5.95,345.50,60.00,255.83,178,7476225
118,CPEDU,"CAREER POINT EDUTECH",267.06,281.10,14.34,0.00,5.95,320.11,217.61,38.38,25,194288897
119,AHCL-BE,"ANLON HEALTHCARE",120.17,129.07,16.33,0.77,5.94,147.70,90.78,47.37,27,194296065
120,MOBIKWIK,"ONE MOBIKWIK SYSTEMS",314.71,281.35,21.30,1.37,5.94,698.30,219.20,152.23,203,7179777
121,ATLANTAELE,"ATLANTA ELECTRICALS",870.99,911.00,9.28,2.40,5.93,940.00,782.10,18.13,9,194305793
122,MGSL-ST,"MATRIX GEO SOLUTIONS",107.37,106.25,9.56,4.24,5.93,120.00,94.20,24.03,8,194546689
123,BCONCEPTS-BE,"BRAND CONCEPTS",390.95,333.60,18.97,0.50,5.93,658.80,252.10,104.03,250,1992449
124,MEDICO-BE,"MEDICO REMEDIES",51.81,50.21,27.16,0.00,5.92,79.83,37.18,82.31,250,2476289
125,HPIL,"HINDPRAKASH INDUSTRY",136.42,130.00,18.72,0.76,5.92,193.00,110.40,60.55,250,3019777
126,BILVYAPAR,"BIL VYAPAR",13.81,12.13,22.32,0.00,5.92,23.11,9.17,100.95,250,3488001
127,GARUDA,"GARUDA CONSTRUCT N ENG L",129.85,201.96,19.40,1.62,5.92,229.99,77.05,117.78,247,6604801
128,SETUINFRA-BZ,"SETUBANDHAN INFRA",0.71,0.59,12.28,0.00,5.91,1.12,0.46,92.59,229,4614145
129,AKG,"AKG EXIM",15.15,13.99,24.56,1.36,5.90,22.60,11.24,74.98,250,557057
130,WHITEFORCE-SM,"HAPPY SQUARE OUTSOURC S L",79.54,71.00,19.51,0.00,5.90,94.80,54.85,50.23,59,193962241
131,BAJAJINDEF,"INDEF MANUFACTURING",334.67,422.00,18.87,0.00,5.90,580.25,199.24,113.85,156,7597569
132,LPDC,"LANDMARK PR.DEV.CO.LTD",8.85,8.47,27.10,0.00,5.90,15.30,6.96,94.25,250,4316929
133,ADL,"ARCHIDPLY DECOR",89.02,90.99,36.18,0.00,5.89,121.77,62.00,67.14,248,62721
134,JAYNECOIND,"JAYASWAL NECO INDUSTR",43.79,70.63,24.27,1.38,5.87,75.80,28.00,109.16,250,596737
135,DCMFINSERV,"DCM FINANCIAL SERVICES LT",6.50,5.70,18.64,0.00,5.87,9.21,4.92,66.04,250,1222401
136,HBSL,"HB STOCKHOLDINGS",94.67,86.60,20.61,1.47,5.87,146.88,70.00,81.21,250,1053697
137,SHIVAMAUTO,"SHIVAM AUTO.LTD",34.36,30.37,15.92,1.98,5.86,57.33,24.80,94.66,250,3521537
138,BANKA,"BANKA BIOLOO",87.15,86.55,17.66,0.00,5.86,140.00,56.99,95.25,250,210433
139,OMKARCHEM-BZ,"OMKAR SPL CHEM",6.89,5.69,10.44,0.00,5.86,11.12,5.01,88.74,157,3459841
140,PVP-BE,"PVP VENTURES",25.74,29.90,21.18,0.00,5.86,36.98,18.30,72.56,250,1605889
141,MASTERTR,"MASTER TRUST",147.94,148.00,25.43,1.66,5.85,197.00,105.20,62.05,227,6924033
142,AKASH,"AKASH INFRA-PROJECTS",29.92,29.09,24.18,1.75,5.85,40.88,23.00,59.76,250,3458561
143,1015SCL28B-AZ,"1015SCL28B-AZ",975.14,1252.80,31.47,0.00,5.85,1316.00,812.50,51.63,13,4490753
144,FSC-BZ,"FUTURE SUPP CHAIN SOL",2.14,2.44,10.75,0.00,5.85,2.97,1.55,66.36,162,3744769
145,VASWANI-BE,"VASWANI IND",48.31,54.55,17.89,0.00,5.84,66.84,33.30,69.42,250,6488065
146,UYFINCORP,"U. Y. FINCORP",20.43,14.90,24.22,1.51,5.83,33.80,11.16,110.83,250,6560257
147,IVALUE,"IVALUE INFOSOLUTIONS",287.57,298.50,10.14,3.50,5.83,305.45,273.65,11.06,11,194314497
148,QUADFUTURE,"QUADRANT FUTURE TEK",475.62,388.55,21.37,1.52,5.83,744.00,362.10,80.30,185,7446273
149,PFOCUS,"PRIME FOCUS",129.95,168.18,21.19,0.00,5.82,203.70,85.00,91.34,250,3454977
150,ORCHASP,"ORCHASP",2.96,3.42,32.13,0.00,5.82,3.94,2.11,61.92,166,7549953
151,KMEW,"KNOWLEDGE MARINE & EN W L",1817.62,2399.00,17.68,2.10,5.82,2599.90,1264.05,73.49,225,6933505
152,NEXTMEDIA,"NEXT MEDIAWORKS",7.10,6.88,22.28,0.00,5.82,12.79,5.70,99.80,250,2525953
153,SHREEPUSHK,"SHRE PUSH CHEM & FERT",314.36,416.00,20.12,1.63,5.82,476.00,220.50,81.28,250,2710529
154,DYCL,"DYNAMIC CABLES",397.57,398.25,16.10,1.36,5.82,547.50,227.50,80.49,250,2666753
155,MODTHREAD,"MODERN THREADS INDIA",47.88,49.40,18.85,0.00,5.81,62.00,31.35,64.02,250,573697
156,BEARDSELL,"BEARDSELL",33.97,32.80,18.26,0.96,5.81,51.30,23.00,83.30,250,4590849
157,LASA-BE,"LASA SUPERGENERICS",18.80,11.30,20.33,0.00,5.80,31.40,8.16,123.59,250,5561089
158,MBLINFRA,"MBL INFRASTRUCTURE",48.00,43.50,19.54,1.80,5.80,69.98,32.51,78.06,250,4615425
159,MFML,"MAHALAXMI FABRIC MILLS LT",36.96,28.55,14.28,0.00,5.80,61.00,24.20,99.58,250,6383873
160,SATTVAENGG-SM,"SATTVA ENGINEERING CSTN L",100.83,81.85,13.35,1.71,5.80,118.90,81.10,37.49,27,194293761
161,BLBLIMITED,"BLB",16.96,15.95,19.76,1.56,5.80,24.95,13.10,69.86,250,2081793
162,NDLVENTURE-BE,"NDL VENTURES",85.81,84.04,27.58,1.66,5.79,127.70,48.94,91.79,250,3724801
163,SANGINITA,"SANGINITA CHEMICALS",12.13,10.79,25.48,1.39,5.79,18.50,8.46,82.77,250,2824193
164,SUPERSPIN,"SUPER SPINNING MILLS",11.03,9.21,20.92,0.00,5.78,16.67,8.50,74.04,250,859393
165,JAGSNPHARM,"JAGSONPAL PHARMACEUTICALS",233.66,220.80,18.19,1.57,5.78,328.05,175.20,65.42,250,1128961
166,SELMC,"SEL MANUFACTURING CO",36.67,30.35,18.51,0.00,5.78,54.91,25.50,80.20,250,1603073
167,KHAITANLTD,"KHAITAN (INDIA)LTD.",103.28,130.04,17.76,0.00,5.78,167.50,71.56,92.90,250,1001473
168,WANBURY,"WANBURY",255.05,252.00,18.05,1.76,5.77,329.70,154.01,68.88,250,3600129
169,CENTEXT,"CENTURY EXTRUSIONS",22.02,33.60,20.55,1.32,5.77,34.75,15.67,86.65,250,2946817
170,MODIRUBBER,"MODI RUBBER",118.80,129.10,19.07,0.07,5.77,163.70,90.00,62.04,250,570625
171,NKIND,"NK INDUSTRIES",65.25,70.60,20.08,0.00,5.76,98.40,44.10,83.22,242,624385
172,PEARLPOLY,"PEARL POLYMERS",32.26,29.57,18.63,1.81,5.75,47.40,24.11,72.19,250,668161
173,ASHIMASYN,"ASHIMA",28.16,22.30,19.74,0.00,5.75,38.28,16.99,75.60,250,52737
174,DCI,"DC INFOTECH AND COMUN",296.68,244.25,20.89,1.72,5.74,449.90,201.35,83.78,250,2960897
175,PREMEXPLN,"PREMIER EXPLOSIVES",482.16,658.60,19.51,1.79,5.74,680.00,309.15,76.91,250,4453633
176,UMESLTD,"USHA MARTIN EDU & SOL",6.17,5.90,18.35,0.00,5.74,9.13,4.81,70.07,250,4900353
177,EPACKPEB,"EPACK PREFAB TECHN",189.85,193.50,7.90,4.08,5.74,199.70,179.32,10.73,7,194368257
178,CUBEXTUB-BE,"CUBEXTUBINGS-ROLLSETT",94.50,96.50,19.25,0.00,5.74,143.25,67.11,80.58,250,2529537
179,FLFL-BZ,"FUT LIFESTYLE FASH",1.91,1.75,10.42,0.00,5.73,2.88,1.17,89.62,200,3806209
180,DIGISPICE-BE,"DIGISPICE TECHNOLOGIES LT",24.82,27.29,21.64,0.00,5.72,35.50,17.09,74.17,250,4271873
181,JKIPL-BE,"JINKUSHAL INDUSTRIES",114.38,111.50,7.74,2.96,5.72,126.95,106.17,18.17,6,194356737
182,SAMBHAAV,"SAMBHAAV MEDIA",6.72,7.54,29.11,0.00,5.72,9.45,4.86,68.25,250,1056513
183,AERONEU,"AEROFLEX NEU",96.60,92.95,25.36,0.13,5.71,125.37,67.00,60.42,250,3504385
184,955SCL25-ZU,"955SCL25-ZU",421.92,363.00,26.14,0.00,5.71,980.00,292.50,162.94,33,3447041
185,SHIVATEX,"SHIVA TEXYARN",206.32,180.84,19.44,1.00,5.71,299.00,168.00,63.49,250,205825
186,RPPL,"RAJSHREE POLYPACK",29.21,19.41,18.14,1.89,5.70,44.15,18.91,86.39,250,1769729
187,BANARBEADS,"BANARAS BEADS",124.34,141.90,22.09,1.22,5.70,169.52,97.00,58.32,250,88833
188,TICL,"TWAMEV CONS AND INFRA",35.46,29.59,16.01,0.00,5.70,59.23,19.35,112.46,250,4992257
189,AGARWALTUF-SM,"AGARWAL TOUGH GLASS IND L",125.65,164.45,25.85,0.00,5.69,174.05,81.00,74.05,211,6991105
190,SOMATEX-BE,"SOMA TEXTILEI NDUSTRIES L",53.57,75.94,18.64,0.00,5.69,105.00,34.53,131.54,250,2330625
191,DUCON,"DUCON INFRATECHNOLOGIES L",6.53,4.90,18.80,0.00,5.68,9.35,4.58,73.07,250,7411713
192,WEWORK,"WEWORK INDIA MANAGEMENT L",632.00,632.00,5.68,5.68,5.68,650.15,614.25,5.68,1,194415105
193,AAKASH,"AAKASH EXPLORATION SER L",9.78,9.26,18.83,0.00,5.68,13.79,7.06,68.82,250,60161
194,VAISHALI,"VAISHALI PHARMA",14.32,11.10,24.08,0.00,5.68,24.91,10.30,102.02,250,4246785
195,MIRCELECTR-BE,"MIRCELECTR-DEPO",18.38,25.77,22.48,0.00,5.68,30.47,10.26,109.98,250,1754369
196,ARFIN-BE,"ARFIN INDIA",39.71,49.81,13.71,2.04,5.67,50.90,31.43,49.03,56,194227969
197,WEWIN,"WE WIN",58.29,65.97,21.85,0.30,5.67,98.90,37.70,104.99,250,2524673
198,CENTUM,"CENTUM ELECTRONICS",2018.88,2670.00,20.51,1.51,5.66,3044.00,1140.30,94.29,250,3835393
199,FAZE3Q,"FAZE THREE",475.52,479.00,18.36,1.86,5.66,747.95,317.75,90.47,250,3072001
200,SAATVIKGL,"SAATVIK GREEN ENERGY",472.42,534.20,8.55,3.39,5.66,567.00,420.10,31.10,10,194318593
201,HYBRIDFIN,"HYBRID FINANCIAL SERVICE",14.10,19.75,17.28,0.00,5.66,22.72,10.05,89.89,250,3279105
202,DANISH-SM,"DANISH POWER",927.02,830.00,19.29,0.00,5.66,1316.00,541.50,83.55,237,6637313
203,TEAMGTY-BE,"TEAM INDIA GUARANTY",186.99,245.50,18.48,0.00,5.65,315.00,125.00,101.61,250,2871553
204,ASTRON,"ASTRON PAPER BORD MIL",16.85,10.53,16.50,0.00,5.65,25.00,10.11,88.38,250,223745
205,NITIRAJ,"NITIRAJ ENGINEERS",234.25,203.00,19.20,0.00,5.64,421.60,186.00,100.58,250,831233
206,FLYSBS-ST,"FLYSBS AVIATION",574.81,557.00,15.13,0.00,5.64,790.00,427.50,63.06,43,194102017
207,XELPMOC,"XELPMOC DESIGN & TECH",110.52,112.10,18.91,1.25,5.64,173.30,80.21,84.23,250,2170113
208,NGIL,"NAKODA GROUP OF IND.",34.61,31.46,22.08,1.21,5.64,48.00,25.61,64.70,250,1382657
209,REMSONSIND,"REMSONS INDUSTRIES",137.09,129.00,17.65,1.12,5.63,222.00,101.71,87.75,250,1015041
210,LIBAS,"LIBAS CONSU PRODUCTS",14.01,12.23,18.73,1.56,5.63,18.70,10.53,58.30,250,2836993
211,LAXMICOT,"LAXMI COTSPIN",27.74,22.45,19.92,1.21,5.63,41.45,20.35,76.07,250,1681409
212,MANUGRAPH-BE,"MANUGRAPH INDIA",20.33,22.93,19.86,0.00,5.63,26.40,14.17,60.16,249,3475201
213,IMPEXFERRO-BZ,"IMPEX FERRO TECH",2.45,1.81,10.17,0.00,5.63,3.68,1.77,78.07,248,6625537
214,AUSOMENT,"AUSOM ENTERPRISE",102.96,108.80,15.41,0.00,5.62,186.35,72.80,110.28,250,1033473
215,DHANI,"DHANI SERVICES",68.16,60.90,15.69,1.76,5.61,109.88,49.85,88.08,250,3938305
216,BBTCL,"B&B TRIPLEWALL CONT",185.30,189.00,23.20,1.56,5.61,245.50,120.60,67.40,250,3111169
217,ENVIRO-SM,"ENVIROTECH SYSTEMS",119.88,156.10,19.58,0.00,5.60,173.00,89.05,70.03,250,6505473
218,MAGNUM,"MAGNUM VENTURES",31.68,24.39,21.34,1.15,5.60,56.60,22.25,108.44,250,3828993
